"","Headline","Publication","Summary","Date"
"672","Citywide testing proves effective in containing Urumqi outbreak","China Daily, 336 words",NA,2020-08-06
"673","Heavy rains set to ease droughts in south and east","China Daily, 361 words",NA,2021-02-10
"674","Xinjiang denies report about passports for Uygurs","China Daily, 566 words",NA,2020-04-30
"675","Adrian Zenz's lies on Xinjiang 's population debunked (2)","China Daily, 720 words",NA,2020-09-14
"676","Xinjiang pours money into social services","China Daily, 210 words",NA,2020-05-22
"677","Nation reports its highest daily case total in 3 months","China Daily, 319 words",NA,2020-07-30
"678","Xinjiang spurs tourism revival after overcoming virus outbreak","China Daily, 450 words",NA,2020-09-21
"679","Evidence' of Muslims being suppressed 'utter nonsense', Xinjiang officials say","China Daily, 647 words",NA,2020-11-20
"680","Self-driving the new way to holiday","China Daily, 373 words",NA,2021-02-17
"681","Report: Faith fully respected in Xinjiang","China Daily, 585 words",NA,2020-11-04
"682","EU should not let investment deal be hijacked: China Daily editorial","China Daily, 481 words",NA,2021-03-28
"683","Urumqi to carry out citywide free nucleic acid testing","China Daily, 328 words",NA,2020-07-18
"684","Urumqi carries out new targeted round of testing","China Daily, 343 words",NA,2020-08-05
"685","Xinjiang women see more opportunities","China Daily, 1046 words",NA,2021-03-09
"686","Kashgar reports 138 new COVID cases","China Daily, 540 words",NA,2020-10-26
"687","Reduce poverty and protect human rights","China Daily, 853 words",NA,2020-09-25
"688","China firmly opposes Xinjiang -related bill signed by Trump","China Daily, 278 words",NA,2020-06-18
"689","For villagers in northern Xinjiang , wealth sprouts from fields of lavender","China Daily, 940 words",NA,2021-02-08
"690","No 'forced labor' in Xinjiang , report finds","China Daily, 585 words",NA,2020-10-20
"691","Xinjiang workers deny forced labor claims","China Daily, 568 words",NA,2020-11-13
"692","Fact check: Alleged Xinjiang 'detention centers' anything but","China Daily, 263 words",NA,2020-11-30
"693","NGO certification being weaponized: China Daily editorial","China Daily, 551 words",NA,2021-03-29
"694","Dinosaurs that left tracks in stone identified","China Daily, 261 words",NA,2020-06-09
"695","Xinjiang 'population issue' criticized","China Daily, 498 words",NA,2020-09-26
"696","Xi vows greater solidarity amid virus","China Daily, 534 words",NA,2021-03-17
"697","New COVID-19 cases falling in Xinjiang","China Daily, 383 words",NA,2020-08-03
"698","Documentary nails West's lies on Xinjiang 's fight against terrorism","China Daily, 803 words",NA,2020-09-02
"699","Solar park brings succor to Qinghai","China Daily, 466 words",NA,2021-02-23
"700","Xinjiang unveils events to mark national cultural day","China Daily, 295 words",NA,2020-06-13
"701","Xinjiang resuming normalcy after outbreak","China Daily, 476 words",NA,2020-09-03
"702","Year-end auto sales boom to continue through January","China Daily, 338 words",NA,2021-01-12
"703","Foreign ministry slams 'doomsday clown' Pompeo","China Daily, 380 words",NA,2021-01-21
"704","National Day holiday expected to inject new growth for tourism","China Daily, 498 words",NA,2020-09-27
"705","Ministry speaks out against US interference","China Daily, 394 words",NA,2021-01-05
"706","Xinjiang COVID-19 outbreak expected to slow: Public health expert","China Daily, 652 words",NA,2020-07-20
"707","Eight new coronavirus cases reported in Xinjiang","China Daily, 408 words",NA,2020-07-22
"708","UK urged to refrain from false accusations","China Daily, 367 words",NA,2020-07-21
"709","Urumqi outbreak expected to slow down","China Daily, 394 words",NA,2020-07-21
"710","Stance on climate change lauded","China Daily, 288 words",NA,2020-11-30
"711","Xi hails major progress made in Xinjiang","China Daily, 575 words",NA,2020-09-28
"712","Xinjiang records record-high COVID-19 recoveries","China Daily, 412 words",NA,2020-08-04
"713","Act exposes US 'tolerance' for terrorism","China Daily, 815 words",NA,2020-06-20
"714","After virus fight, Xinjiang gives tourism a push","China Daily, 507 words",NA,2020-09-15
"715","Report accuses US of double standard","China Daily, 685 words",NA,2020-11-11
"716","Refutation of all Xinjiang charges: China Daily editorial","China Daily, 565 words",NA,2020-09-28
"717","Uyghurs a bargaining chip in US -China trade war","China Daily, 927 words",NA,2021-01-11
"718","Xinjiang successful in containing terrorism, CPPCC member says","China Daily, 297 words",NA,2020-05-24
"719","Xinjiang benefits from dean's textile training project","China Daily, 635 words",NA,2020-10-13
"720","Regulation details hajj procedures for Chinese Muslims","China Daily, 239 words",NA,2020-10-12
"721","Tunnel drilled on major China railway","China Daily, 211 words",NA,2020-10-09
"722","Canada urged to reset relations with China","China Daily, 596 words",NA,2021-03-04
"723","Documentary traces the colorful history of Xinjiang","China Daily, 482 words",NA,2021-01-28
"724","CIIE trading platform to reach more regions outside Shanghai","China Daily, 267 words",NA,2020-11-05
"725","New maglev lines to cut travel time to Guangzhou","China Daily, 517 words",NA,2021-02-23
"726","Employment progress in Xinjiang key to social stability, experts say","China Daily, 584 words",NA,2020-09-22
"727","Xinjiang import ban applied prejudice: China Daily editorial","China Daily, 571 words",NA,2020-09-09
"728","Best of the northwest","China Daily, 281 words",NA,2020-11-03
"729","Huge potential seen in wind, solar power growth","China Daily, 485 words",NA,2021-02-05
"730","People's rights fully respected in Xinjiang","China Daily, 1644 words",NA,2021-01-14
"731","Villagers in southern Xinjiang escape poverty through grapevine","China Daily, 678 words",NA,2020-10-20
"732","Orange cold wave warning issued as freezing temperatures sweep across nation","China Daily, 352 words",NA,2020-12-28
"733","Participation in winter activities snowballing as Beijing Games near","China Daily, 618 words",NA,2021-03-16
"734","Pinduoduo employee's death sparks labor probe","China Daily, 391 words",NA,2021-01-06
"735","Ministry blasts US for visa policy attacks","China Daily, 385 words",NA,2020-12-23
"736","Xinjiang farmers get a lift from Anhui","China Daily, 342 words",NA,2020-05-29
"737","No forced labor in Xinjiang , report says","China Daily, 700 words",NA,2020-10-21
"738","US sanctions on Xinjiang firms are an 'act of blatant bullying'","China Daily, 705 words",NA,2020-10-17
"739","Import-export paperwork streamlined in Xinjiang","China Daily, 328 words",NA,2020-05-13
"740","Diplomat: View development in objective way","China Daily, 611 words",NA,2021-03-09
"741","Suez jam may spur freight train option","China Daily, 710 words",NA,2021-03-30
"742","Sanctions imposed on US entity, officials over Xinjiang -related issues","China Daily, 459 words",NA,2020-07-14
"743","What's on","China Daily, 357 words",NA,2020-11-30
"744","Documentary tells true story of Xinjiang training centers","China Daily, 596 words",NA,2020-08-26
"745","Beijing reports two imported COVID cases","China Daily, 275 words",NA,2020-10-26
"746","Ministry: Australia's stance 'a travesty of freedom and democracy'","China Daily, 361 words",NA,2020-12-03
"747","Train shipments build steam in Xinjiang","China Daily, 316 words",NA,2020-04-22
"748","NPC condemns Xinjiang -related bill signed by Trump","China Daily, 442 words",NA,2020-06-18
"749","Investigation Report on the Situation of Xinjiang Outbound Young Migrant Worker of all Ethnic Groups","China Daily, 848 words",NA,2020-10-27
"750","Villagers relish life in new houses","China Daily, 395 words",NA,2020-06-30
"751","Progress in quantum network realized","China Daily, 476 words",NA,2021-01-07
"752","Probe launched into domestic violence claims","China Daily, 521 words",NA,2021-02-08
"753","Ancient instrument strikes enchanting chord of opportunity in Xinjiang","China Daily, 280 words",NA,2020-11-09
"754","Variety show explores meaning of life in picturesque setting","China Daily, 293 words",NA,2020-11-05
"755","Xi says China opposes any intervention in its internal affairs","China Daily, 231 words",NA,2020-09-15
"756","Asian Americans 'screaming out for help'","China Daily, 684 words",NA,2021-03-20
"757","Wind blows sandstorm back to northern regions","China Daily, 689 words",NA,2021-03-18
"758","Forced labor claims unfounded","China Daily, 586 words",NA,2020-04-08
"759","Xinjiang reports record spike in COVID-19 patients","China Daily, 506 words",NA,2020-07-28
"760","Ministry slams US attempts to maintain its hegemony","China Daily, 514 words",NA,2021-01-14
"761","North experiences snow as rain drenches south","China Daily, 331 words",NA,2020-10-29
"762","ILO chief lauds China's commitment to poverty eradication goal","China Daily, 283 words",NA,2020-10-14
"763","Xinjiang looks to expand digital economy","China Daily, 406 words",NA,2020-06-02
"764","Driving homes away from home","China Daily, 278 words",NA,2020-10-13
"765","National carbon market to be expanded, strengthened","China Daily, 339 words",NA,2020-10-29
"766","China slams US enacting law on Uygurs","China Daily, 801 words",NA,2020-06-19
"767","US visa rules for CPC members opposed","China Daily, 391 words",NA,2020-12-04
"768","Officials slam US sanctions on Xinjiang products","China Daily, 1064 words",NA,2020-12-29
"769","One asymptomatic case diagnosed in Henan city","China Daily, 300 words",NA,2020-10-30
"770","Toxic legacy need not poison relations: China Daily editorial","China Daily, 469 words",NA,2021-01-05
"771","Uygurs not 'persecuted', Xinjiang spokesman says","China Daily, 446 words",NA,2020-12-11
"772","111 new cases confirmed in Urumqi","China Daily, 542 words",NA,2020-08-01
"773","A Report on Freedom of Religious Belief in Xinjiang","China Daily, 2596 words",NA,2020-11-03
"774","Forests answer carbon capture call","China Daily, 428 words",NA,2020-12-18
"775","Reading for better life","China Daily, 404 words",NA,2020-12-08
"776","Past resonates at ancient site on Silk Road","China Daily, 587 words",NA,2021-02-16
"777","Power sector charts new path to carbon-neutral future","China Daily, 341 words",NA,2020-10-22
"778","Documentary nails lies about Xinjiang","China Daily, 676 words",NA,2020-09-12
"779","Xinjiang records highest daily number of COVID recoveries","China Daily, 208 words",NA,2020-08-07
"780","Human rights a tool for US to maintain its hegemony","China Daily, 814 words",NA,2020-10-14
"781","Medical aid boosts Tibet and Xinjiang healthcare","China Daily, 478 words",NA,2020-12-16
"782","Xinjiang's railways see surging cotton freight amid epidemic","China Daily, 201 words",NA,2020-08-07
"783","African swine fever vaccine research progressing well","China Daily, 251 words",NA,2020-08-18
"784","Cui: China not looking to rule the world","China Daily, 823 words",NA,2021-03-26
"785","Home price stability－goal's for real","China Daily, 658 words",NA,2021-02-01
"786","Clean water? Villagers can drink to that","China Daily, 521 words",NA,2020-07-20
"787","Xinjiang rejects US' report on mosques","China Daily, 593 words",NA,2020-07-18
"788","Expert: US policy on Taiwan set to become more predictable under Biden","China Daily, 586 words",NA,2021-02-05
"789","Pakistan 's ambassador praises XPCC's role in Xinjiang development","China Daily, 406 words",NA,2020-11-09
"790","Track-laying progresses in Xinjiang","China Daily, 406 words",NA,2020-05-13
"791","Wastewater feeds a forest in arid zone","China Daily, 400 words",NA,2020-05-08
"792","Inner Mongolian herders benefit from vet services","China Daily, 439 words",NA,2020-12-09
"793","Forecasters predict winter will be colder","China Daily, 377 words",NA,2020-11-05
"794","SME indexes dip, reflecting seasonal, COVID slowdowns","China Daily, 741 words",NA,2021-02-19
"795","More teachers, factory workers sought","China Daily, 345 words",NA,2020-10-24
"796","Pandemic doesn't stop trains from carrying goods to Europe","China Daily, 578 words",NA,2021-01-29
"797","Culture trains to help fight remaining poverty","China Daily, 287 words",NA,2020-08-24
"798","Daily visitor caps demanded for ancient grotto temples","China Daily, 388 words",NA,2020-10-29
"799","Energy SOE taps into Mexico , Russia","China Daily, 467 words",NA,2020-11-27
"800","Temperatures set to plummet by up to 10 C","China Daily, 552 words",NA,2021-01-06
"801","Human rights well protected in Xinjiang","China Daily, 988 words",NA,2020-10-27
"802","Pinduoduo case shows need for reevaluating labor law in digital age","China Daily, 584 words",NA,2021-01-05
"803","Villagers escape poverty through the grapevine","China Daily, 342 words",NA,2020-10-05
"804","Industries creating work in southern Xinjiang","China Daily, 975 words",NA,2020-04-27
"805","Skiers hitting slopes this season in record numbers","China Daily, 586 words",NA,2020-12-30
"806","Suspect caught in 1994 killing of wildlife hero","China Daily, 305 words",NA,2020-09-17
"807","China showing heavy travel demand for National Day holiday","China Daily, 324 words",NA,2020-09-16
"808","Temperatures to plunge as cold air sweeps south","China Daily, 552 words",NA,2020-12-31
"809","SOEs set out measures on carbon neutrality","China Daily, 625 words",NA,2021-01-18
"810","Australia to blame for soured relations: China Daily editorial","China Daily, 477 words",NA,2020-11-18
"811","Gang leader sentenced to death in Qinghai","China Daily, 414 words",NA,2020-11-03
"812","Some reason would be welcome: China Daily editorial","China Daily, 502 words",NA,2020-12-03
"813","Cotton farmer sets sights on tourism","China Daily, 410 words",NA,2020-10-30
"814","Trending toward travel","China Daily, 235 words",NA,2020-07-07
"815","Online healthcare, medical insurance turn top priorities","China Daily, 737 words",NA,2020-07-29
"816","Dalian to test 190,000 due to new cases","China Daily, 705 words",NA,2020-07-24
"817","What's on","China Daily, 300 words",NA,2020-08-17
"818","China-Europe freight trains record 36% surge in trips","China Daily, 247 words",NA,2020-07-10
"819","Workers' rights safeguarded in Xinjiang","China Daily, 902 words",NA,2020-09-21
"820","New Xinjiang cases drop to single digits","China Daily, 738 words",NA,2020-08-13
"821","51 new cases reported in Hebei","China Daily, 637 words",NA,2021-01-07
"822","Geriatric superstars set tongues wagging","China Daily, 801 words",NA,2021-02-26
"823","390,000 punished in corruption campaign this year","China Daily, 462 words",NA,2020-10-27
"824","Mass testing underway in Urumqi as virus flares","China Daily, 701 words",NA,2020-07-20
"825","FM slams US for Cold War thinking mode","China Daily, 494 words",NA,2020-11-21
"826","Pompeo, 27 more banned from China","China Daily, 697 words",NA,2021-01-21
"827","Cooperation can ensure the welfare of all people","China Daily, 1239 words",NA,2020-11-05
"828","US govt urged to focus on cooperation","China Daily, 740 words",NA,2021-02-03
"829","More films needed to bolster industry hit hard by virus","China Daily, 635 words",NA,2020-07-21
"830","Railway freight volume reflects China's economic recovery","China Daily, 260 words",NA,2020-07-28
"831","Climate key to US -China cooperation","China Daily, 800 words",NA,2021-02-19
"832","Nation makes advances in rural electrification","China Daily, 437 words",NA,2020-10-20
"833","Remote healthcare scales new heights","China Daily, 518 words",NA,2020-05-20
"834","Jinnan district sees the fruit of its poverty alleviation work","China Daily, 354 words",NA,2020-09-10
"835","NPC condemns US meddling in Tibet","China Daily, 661 words",NA,2020-12-31
"836","Wolf warrior' jab unfounded, official says","China Daily, 573 words",NA,2020-12-07
"837","China condemns US 'forced labor' bill","China Daily, 398 words",NA,2020-09-24
"838","Valuable experience gained will help China to control sporadic outbreaks: China Daily editorial","China Daily, 433 words",NA,2020-10-26
"839","Women on front line of virus testing battle","China Daily, 741 words",NA,2021-01-28
"840","From the ground, up","China Daily, 466 words",NA,2020-10-21
"841","Stitching traditional culture into contemporary fashion","China Daily, 511 words",NA,2020-11-05
"842","Zhejiang port firm embraces 'dual-circulation' pattern","China Daily, 512 words",NA,2020-11-16
"843","Latest on the novel coronavirus outbreak","China Daily, 6909 words",NA,2020-10-12
"844","Profitable recreation on wheels","China Daily, 662 words",NA,2020-06-27
"845","Jiangsu rail network on growth track","China Daily, 608 words",NA,2020-12-12
"846","West-east power line reaches 'milestone'","China Daily, 489 words",NA,2020-10-28
"847","Mining old sites","China Daily, 275 words",NA,2020-07-10
"848","Risking lives for a few likes","China Daily, 324 words",NA,2020-08-12
"849","China wins hard-fought battle against extreme poverty","China Daily, 999 words",NA,2021-03-05
"850","Hangzhou reports 1 asymptomatic COVID-19 case","China Daily, 337 words",NA,2020-08-05
"851","Whole world needs to take pandemic seriously: China Daily editorial","China Daily, 481 words",NA,2020-10-25
"852","Road trips, private tours top picks for holiday travel","China Daily, 421 words",NA,2020-09-28
"853","Officials work to relieve poverty in Xinjiang county","China Daily, 531 words",NA,2020-04-24
"854","Snowstorms on course to move southward","China Daily, 543 words",NA,2020-11-20
"855","Comprehensive bid to cut cold chain infections: China Daily editorial","China Daily, 502 words",NA,2020-10-27
"856","China slams US taking ETIM from terror list","China Daily, 537 words",NA,2020-11-07
"857","US urged not to obstruct normal trade","China Daily, 412 words",NA,2020-09-16
"858","Caps on number of visitors to be implemented at grotto temple sites","China Daily, 518 words",NA,2020-11-02
"859","Drones monitor antelope population","China Daily, 396 words",NA,2020-08-20
"860","Oil majors expand wind power campaign","China Daily, 614 words",NA,2020-12-09
"861","Hajj trips consolidated under one association","China Daily, 478 words",NA,2020-10-13
"862","Cultivated liaisons","China Daily, 1083 words",NA,2021-02-22
"863","China striding on despite malicious propaganda","China Daily, 902 words",NA,2021-02-09
"864","Railway plan adds services in 4th quarter","China Daily, 477 words",NA,2020-10-12
"865","Cinemas in China reboot in July","China Daily, 320 words",NA,2020-07-21
"866","US supporting secessionism to contain China, report says","China Daily, 591 words",NA,2020-11-10
"867","Xinjiang housing construction nears completion despite outbreak delays","China Daily, 303 words",NA,2020-07-24
"868","High cost of raising children behind low birth rate","China Daily, 836 words",NA,2021-01-20
"869","Beijing warming up for Winter Games","China Daily, 878 words",NA,2021-02-04
"870","Tajik ethnic people ready to hit new heights","China Daily, 313 words",NA,2020-07-20
"871","Qingdao shows risk of lowering guard: China Daily editorial","China Daily, 483 words",NA,2020-10-15
"872","Bridge for villagers in Xinjiang is a journey to convenience","China Daily, 824 words",NA,2021-02-02
"873","Peng Liyuan addresses conference on poverty reduction for women","China Daily, 470 words",NA,2020-09-16
"874","Five cities to build distribution hubs for China-Europe railways","China Daily, 320 words",NA,2020-07-08
"875","US should check its reckless ambition: China Daily editorial","China Daily, 532 words",NA,2020-10-15
"876","Qingdao remains on alert as 6 new cases confirmed","China Daily, 511 words",NA,2020-10-15
"877","Journey of a lifetime","China Daily, 325 words",NA,2020-07-29
"878","FMCG sector sees robust sales in nation","China Daily, 639 words",NA,2020-11-19
"879","Top 10 archaeological discoveries offer cultural food for thought","China Daily, 243 words",NA,2020-05-06
"880","No extra virus protection needed for National Day","China Daily, 454 words",NA,2020-09-11
"881","Re-education camp in Xinjiang ? Let's find out the truth","China Daily, 994 words",NA,2021-02-05
"882","Talent show 'The Coming One' premiers fourth season","China Daily, 354 words",NA,2020-07-16
"883","Regional virus outbreaks controlled","China Daily, 413 words",NA,2020-08-06
"884","US urged to cooperate, manage differences","China Daily, 982 words",NA,2021-02-08
"885","African swine fever vaccine shown to be safe in clinical trial","China Daily, 293 words",NA,2020-06-10
"886","Millennials proud of their role in battling pandemic","China Daily, 410 words",NA,2020-09-09
"887","Envoy calls on world to jointly fight terrorism","China Daily, 510 words",NA,2020-09-19
"888","New archaeology center to play key role","China Daily, 727 words",NA,2020-12-01
"889","China's Li-thal force moves step closer to ultimate prize","China Daily, 776 words",NA,2021-01-19
"890","The artist behind Pixar's latest hit animation","China Daily, 425 words",NA,2020-09-03
"891","Western China to see boost to transport infrastructure, ministry says","China Daily, 298 words",NA,2020-05-29
"892","Holiday hullabaloo","China Daily, 475 words",NA,2020-09-15
"893","Prodigies are not created through stunts or for-profit gimmicks","China Daily, 364 words",NA,2020-07-30
"894","Consumer spending up during national holiday","China Daily, 517 words",NA,2020-10-05
"895","Tianjin steps in to help agricultural sales","China Daily, 258 words",NA,2020-04-28
"896","CNPC assures enough gas for heating season","China Daily, 598 words",NA,2020-11-04
"897","Is Biden's China team fit for the job?","China Daily, 935 words",NA,2021-01-27
"898","College graduates called on to make new contributions","China Daily, 360 words",NA,2020-07-09
"899","Experts: 2nd COVID wave seems unlikely","China Daily, 606 words",NA,2020-10-31
"900","More than 900m Chinese online","China Daily, 257 words",NA,2020-04-28
"901","Reform to shift State firms' focus to key biz","China Daily, 877 words",NA,2020-12-25
"902","China ready to boost ties with Japan","China Daily, 656 words",NA,2020-11-03
"903","Key areas needing policy innovation in 2021-25","China Daily, 1350 words",NA,2020-10-19
"904","Latest on the novel coronavirus outbreak","China Daily, 1025 words",NA,2020-08-08
"905","Census announced to verify anti-poverty data","China Daily, 365 words",NA,2020-06-30
"906","Xinjiang training center grads refute rumors from West","China Daily, 565 words",NA,2020-10-31
"907","China's logistics industry recovers steadily in Jan-April","China Daily, 305 words",NA,2020-05-28
"908","Chilly winter in North to help disperse smog","China Daily, 710 words",NA,2020-11-17
"909","Time to better protect workers of online firms","China Daily, 860 words",NA,2021-01-06
"910","Latest on the novel coronavirus outbreak","China Daily, 1064 words",NA,2020-08-09
"911","Air carriers anticipating holiday rush","China Daily, 535 words",NA,2020-09-16
"912","Tianjin's long-term solution for poverty eradication","China Daily, 401 words",NA,2020-07-09
"913","Urumqi strides forward into 5G era","China Daily, 317 words",NA,2020-05-27
"914","New railway operating plan to launch on July 1","China Daily, 332 words",NA,2020-06-23
"915","Books tell story of historic friendship with Central Asia","China Daily, 943 words",NA,2021-01-15
"916","Pregnant antelopes begin annual migration","China Daily, 319 words",NA,2020-05-29
"917","Dedicated principal helps students get new school, clean drinking water","China Daily, 663 words",NA,2020-11-06
"918","46 countries support China's anti-terrorism work in Xinjiang","China Daily, 420 words",NA,2020-07-02
"919","Wisdom and courage can help thaw Sino- US ties","China Daily, 911 words",NA,2020-12-28
"920","Latest on the novel coronavirus outbreak","China Daily, 1101 words",NA,2020-08-10
"921","Exploring Gansu , old and new","China Daily, 761 words",NA,2020-12-02
"922","More new films in need to bolster industry hit hard by COVID, experts say","China Daily, 389 words",NA,2020-07-20
"923","Onus of improving bilateral ties on Canberra","China Daily, 775 words",NA,2020-11-20
"924","Consumers buy into holidays, pushing spending to new, pandemic-era heights","China Daily, 634 words",NA,2020-10-09
"925","Research charts road map for China's carbon neutrality","China Daily, 612 words",NA,2020-10-13
"926","Classroom teaching starting nationwide","China Daily, 540 words",NA,2020-08-28
"927","Yunnan , Xinjiang hit anti-poverty goals","China Daily, 800 words",NA,2020-11-16
"928","China suspends HK-NZ fugitive deal","China Daily, 500 words",NA,2020-08-04
"929","China suspends HK-NZ fugitive deal","China Daily, 510 words",NA,2020-08-04
"930","Nation sees decline in daily cases of coronavirus","China Daily, 470 words",NA,2020-08-04
"931","Renewable power to spur energy transition","China Daily, 673 words",NA,2020-10-17
"932","Latest on the novel coronavirus outbreak","China Daily, 1085 words",NA,2020-07-19
"933","China again?' New US claims don't hold water","China Daily, 1098 words",NA,2021-01-14
"934","Students in Wuhan return to classrooms","China Daily, 573 words",NA,2020-08-29
"935","Outdoor sports rescue team set up in Urumqi","China Daily, 472 words",NA,2020-07-15
"936","Tianjin committed to helping the country eradicate poverty","China Daily, 361 words",NA,2020-05-12
"937","Guideline aims to control COVID-19 on public transportation","China Daily, 522 words",NA,2020-07-23
"938","Prevention and control measures still matter: China Daily editorial","China Daily, 460 words",NA,2020-07-21
"939","Country's investment in railway projects on track to meet target","China Daily, 442 words",NA,2020-07-06
"940","China slams US over curb on tech visas","China Daily, 502 words",NA,2020-07-17
"941","Dehydrated vegetable companies witness robust demand for products","China Daily, 726 words",NA,2020-10-03
"942","No lax vigilance for tourism and cinemas: China Daily editorial","China Daily, 468 words",NA,2020-07-19
"943","West ahead of peers in momentum","China Daily, 518 words",NA,2020-07-30
"944","On Sino-EU ties, media in West miss big picture","China Daily, 598 words",NA,2020-09-08
"945","Even after retiring, people can enjoy a colorful life","China Daily, 805 words",NA,2020-11-10
"946","Strict action taken as Dalian cases spread to 9 cities","China Daily, 550 words",NA,2020-07-29
"947","Alert issued for upcoming dust storm","China Daily, 335 words",NA,2020-04-16
"948","Tibet 's fiscal revenue rises 5.7% in Q1","China Daily, 391 words",NA,2020-05-09
"949","E-tickets in use at all high-speed rail stations","China Daily, 358 words",NA,2020-04-29
"950","Tales of the unexpected","China Daily, 552 words",NA,2020-08-12
"951","Beidou satellite system provides services for business and public","China Daily, 597 words",NA,2020-08-04
"952","UN labor chief lauds China's poverty fight","China Daily, 731 words",NA,2020-10-15
"953","Vocational training to boost migrant workers' prospects","China Daily, 583 words",NA,2020-08-10
"954","Jobs for rural workers a top priority, official says","China Daily, 546 words",NA,2020-08-11
"955","Healthcare advances seen nationwide","China Daily, 804 words",NA,2020-10-17
"956","Getting going again","China Daily, 358 words",NA,2020-04-14
"957","Govt helps 3 million poor people find jobs outside their villages","China Daily, 603 words",NA,2020-08-28
"958","Cold chain logistics becomes a trend in China","China Daily, 527 words",NA,2020-07-15
"959","Pragmatism can help Australia improve relations with China","China Daily, 1006 words",NA,2020-11-25
"960","Construction underway on 4,000 5G base stations in Xinjiang","China Daily, 388 words",NA,2020-05-08
"961","Travel industry starting to show signs of recovery","China Daily, 908 words",NA,2020-04-07
"962","ICT sector set to sustain growth in H2","China Daily, 607 words",NA,2020-07-24
"963","Preventive measures now normal part of life: China Daily editorial","China Daily, 510 words",NA,2020-07-29
"964","Still work to do to keep virus in check: China Daily editorial","China Daily, 573 words",NA,2020-07-27
"965","New detections in Dalian, Urumqi","China Daily, 594 words",NA,2020-07-25
"966","Latest on the novel coronavirus outbreak","China Daily, 1334 words",NA,2020-08-11
"967","Pilot plan to buoy services trade growth","China Daily, 661 words",NA,2020-08-13
"968","Cities look at longer weekends to boost consumption and tourism","China Daily, 395 words",NA,2020-04-28
"969","More female migrant workers return to aid children","China Daily, 629 words",NA,2020-09-11
"970","China-Europe rail links boost pandemic recovery","China Daily, 701 words",NA,2020-09-10
"971","Xi affirms support for Zambia , Palestine","China Daily, 553 words",NA,2020-07-21
"972","Anti-poverty efforts earn envoys' praise","China Daily, 814 words",NA,2020-10-17
"973","Washington's unilateralism is pushing the US adrift from the rest of the world: China Daily editorial","China Daily, 544 words",NA,2020-07-19
"974","East Asian green pledges hailed","China Daily, 1001 words",NA,2020-11-17
"975","Many nations support new security law","China Daily, 541 words",NA,2020-07-04
"976","Xinjiang , Dalian discharge more COVID-19 patients","China Daily, 659 words",NA,2020-08-05
"977","Bad-mouthing China a habit of the past: China Daily editorial","China Daily, 480 words",NA,2020-07-02
"978","Bubonic plague case confirmed in Inner Mongolia","China Daily, 572 words",NA,2020-07-07
"979","Annual pilgrimage trips for Chinese Muslims suspended due to virus","China Daily, 510 words",NA,2020-06-25
"980","Guidelines elevate grotto temple studies, protection","China Daily, 975 words",NA,2020-11-07
"981","Latest on the novel coronavirus outbreak","China Daily, 639 words",NA,2020-08-05
"982","China, EU to boost strategic partnership","China Daily, 770 words",NA,2020-09-15
"983","Guidelines elevate grotto temple studies, protection","China Daily, 976 words",NA,2020-11-07
"984","Black honeybees a sweet little earner","China Daily, 446 words",NA,2020-05-07
"985","June 18 shopping festival a consumption test","China Daily, 546 words",NA,2020-06-18
"986","Dalian goes all out to halt coronavirus","China Daily, 641 words",NA,2020-07-27
"987","Better to be friends than rivals","China Daily, 1385 words",NA,2021-01-06
"988","Carbon-neutrality pledge will reverberate globally","China Daily, 879 words",NA,2020-10-15
"989","HK offers free citywide testing amid new surge","China Daily, 671 words",NA,2020-08-08
"990","Homegrown hoopsters seizing chance to shine","China Daily, 883 words",NA,2020-10-28
"991","Beijing's climate pledge could pave way to net-zero global economy","China Daily, 858 words",NA,2020-10-15
"992","Nation to improve population policy as blueprint unfolds in new era, experts say","China Daily, 1043 words",NA,2020-11-23
"993","Dust and sand from Mongolia affects vast area","China Daily, 490 words",NA,2020-05-18
"994","Energized nation shaping up","China Daily, 743 words",NA,2020-08-10
"995","Contagion rebounds in Xinjiang , HKSAR","China Daily, 619 words",NA,2020-07-18
"996","US duplicity on terrorism condemnable","China Daily, 1498 words",NA,2021-01-15
"997","Improved education boosts average age of nation's workforce","China Daily, 444 words",NA,2020-05-01
"998","Consumers enlisted to beat poverty","China Daily, 783 words",NA,2020-08-29
"999","New infrastructure projects attract foreign investment","China Daily, 695 words",NA,2020-07-15
"1000","Natural gas output rises as clean energy efforts gain traction","China Daily, 679 words",NA,2020-08-05
"1001","Supportive policies help herdsman out of poverty","China Daily, 440 words",NA,2020-04-20
"1002","Labor export project helps farmers earn steady wages","China Daily, 833 words",NA,2020-09-18
"1003","Women's plan feeds 10,000 via food bank","China Daily, 736 words",NA,2020-08-26
"1004","Mass testing a go-to response","China Daily, 701 words",NA,2020-07-31
"1005","Dusty, sandy air to sweep northern region","China Daily, 452 words",NA,2020-04-17
"1006","China's victory over poverty a great modern achievement","China Daily, 1322 words",NA,2020-12-02
"1007","Anti-COVID measures also reduce other types of illness","China Daily, 824 words",NA,2020-09-12
"1008","Countries back China over rights in Xinjiang","China Daily, 662 words",NA,2020-07-03
"1009","Latest on the COVID-19 outbreak","China Daily, 6145 words",NA,2020-12-17
"1010","Latest on the COVID-19 outbreak","China Daily, 6204 words",NA,2020-12-18
"1011","COVID-19 patient first to get new kidney after cure","China Daily, 573 words",NA,2020-05-29
"1012","Top economies urged to avoid inciting hatred","China Daily, 655 words",NA,2020-07-23
